Title;Category;Platform;Summary;Year of Creation
Galaxy Storm;Puzzle;PlayStation 2;Join an elite squad of warriors to protect the realm from invading forces.;2014
Legend Strike;Fighting;Wii;Manage your own city and keep your citizens happy in this engaging simulation.;1998
Cyber Strike;Fighting;Nintendo Switch;Explore haunted locations and uncover terrifying secrets hidden within.;1980
Dark Quest;Sports;Nintendo Switch;Explore haunted locations and uncover terrifying secrets hidden within.;2017
Mystic Clash;Simulation;PC;Race through futuristic tracks with gravity-defying vehicles and power-ups.;1988
Legend Worlds;Action;Nintendo DS;Build your own world, craft tools, and survive in an ever-changing environment.;1993
Dragon Clash;Adventure;Wii;Race through futuristic tracks with gravity-defying vehicles and power-ups.;1989
Galaxy Echoes;Horror;Wii;Take to the skies in a high-octane flight simulator with realistic physics.;1988
Cyber Storm;Strategy;Nintendo Switch;Solve intricate puzzles in a world where every decision changes the outcome.;2019
Shadow Storm;Adventure;PlayStation 2;Build your own world, craft tools, and survive in an ever-changing environment.;1986
Legend Rush;Horror;PlayStation 5;Embark on a thrilling adventure through mysterious lands filled with danger and wonder.;1975
Mystic Worlds;Sports;PlayStation 2;Compete in fast-paced battles with unique characters and powerful abilities.;1972
Dark Saga;Platformer;Arcade;Fight your way through hordes of enemies in this action-packed shooter.;1982
Legend Storm;Puzzle;Arcade;Embark on a thrilling adventure through mysterious lands filled with danger and wonder.;2002
Hero Run;Fighting;Xbox 360;Embark on a thrilling adventure through mysterious lands filled with danger and wonder.;1994
Hero Force;Adventure;Wii;Race through futuristic tracks with gravity-defying vehicles and power-ups.;2022
Dragon Chronicles;Fighting;Nintendo Switch;Embark on a thrilling adventure through mysterious lands filled with danger and wonder.;2019
Star Reign;Sports;PlayStation 2;Take to the skies in a high-octane flight simulator with realistic physics.;2006
Shadow Worlds;Platformer;Wii;Manage your own city and keep your citizens happy in this engaging simulation.;1992
Mystic Echoes;Adventure;iOS;Fight your way through hordes of enemies in this action-packed shooter.;2023
Galaxy Strike;Action;Arcade;Explore haunted locations and uncover terrifying secrets hidden within.;2004
Cyber Quest;Fighting;Arcade;Solve intricate puzzles in a world where every decision changes the outcome.;1984
Star Chronicles;Simulation;PC;Manage your own city and keep your citizens happy in this engaging simulation.;2004
Legend Run;Puzzle;iOS;Manage your own city and keep your citizens happy in this engaging simulation.;1976
Cyber Quest;Action;Android;Race through futuristic tracks with gravity-defying vehicles and power-ups.;1992
Galaxy Run;Platformer;iOS;Build your own world, craft tools, and survive in an ever-changing environment.;1985
Neo Rush;Sports;Android;Manage your own city and keep your citizens happy in this engaging simulation.;1992
Chrono Strike;Puzzle;Arcade;Solve intricate puzzles in a world where every decision changes the outcome.;1979
Dragon Echoes;Racing;iOS;Solve intricate puzzles in a world where every decision changes the outcome.;2002
Star Clash;Simulation;Wii;Compete in fast-paced battles with unique characters and powerful abilities.;2006
Battle Rush;Racing;iOS;Fight your way through hordes of enemies in this action-packed shooter.;2003
Neo Worlds;Horror;iOS;Fight your way through hordes of enemies in this action-packed shooter.;2023
Epic Chronicles;Sports;Xbox Series X;Solve intricate puzzles in a world where every decision changes the outcome.;1985
Chrono Blade;Adventure;Xbox 360;Fight your way through hordes of enemies in this action-packed shooter.;2001
Cyber Chronicles;RPG;Wii;Take to the skies in a high-octane flight simulator with realistic physics.;2006
Chrono Chronicles;Shooter;Arcade;Embark on a thrilling adventure through mysterious lands filled with danger and wonder.;1974
Final Clash;RPG;Wii;Race through futuristic tracks with gravity-defying vehicles and power-ups.;1985
Mystic Storm;Adventure;iOS;Race through futuristic tracks with gravity-defying vehicles and power-ups.;1999
Dragon Force;Strategy;Wii;Solve intricate puzzles in a world where every decision changes the outcome.;1993
Dragon Worlds;Shooter;Xbox Series X;Explore haunted locations and uncover terrifying secrets hidden within.;2015
Galaxy Saga;Fighting;Arcade;Race through futuristic tracks with gravity-defying vehicles and power-ups.;2005
